,2012,2013,2014,2015,2016,Phrase
computing technology,,,,,1,computing technology
computing technology co,,,,,1,computing technology co
comunicacoes anac,1.0,,1.0,,1,comunicacoes anac
comunicaτπo,,,,1.0,1,comunicaτπo
comunicaτπo participaτ,,,,1.0,1,comunicaτπo participaτ
comunicaτπo participaτ es,,,,1.0,1,comunicaτπo participaτ es
comunidad,,,,1.0,1,comunidad
comunidad de,,,,1.0,1,comunidad de
comunidad de madrid,,,,1.0,1,comunidad de madrid
concepts,,1.0,1.0,1.0,1,concepts
confederation,,,,1.0,1,confederation
confucius,,,,1.0,1,confucius
communications corporation limited,,,,,1,communications corporation limited
communications ab,,,,,1,communications ab
communication communigal ltd,1.0,1.0,1.0,1.0,1,communication communigal ltd
communication communigal,1.0,1.0,1.0,1.0,1,communication communigal
com 993,,,,,1,com 993
com 993 llc,,,,,1,com 993 llc
com 994,,,,,1,com 994
com 994 llc,,,,,1,com 994 llc
com 995,,,,,1,com 995
com 995 llc,,,,,1,com 995 llc
com 992 llc,,,,,1,com 992 llc
com 996,,,,,1,com 996
com 997,,,,,1,com 997
com 997 llc,,,,,1,com 997 llc
com 998,,,,,1,com 998
com 998 llc,,,,,1,com 998 llc
com 999,,,,,1,com 999
com 999 llc,,,,,1,com 999 llc
com 996 llc,,,,,1,com 996 llc
com 992,,,,,1,com 992
com 991 llc,,,,,1,com 991 llc
com 991,,,,,1,com 991
com 983 llc,,,,,1,com 983 llc
com 984,,,,,1,com 984
com 984 llc,,,,,1,com 984 llc
com 985,,,,,1,com 985
com 985 llc,,,,,1,com 985 llc
com 986,,,,,1,com 986
com 986 llc,,,,,1,com 986 llc
com 987,,,,,1,com 987
com 987 llc,,,,,1,com 987 llc
com 988,,,,,1,com 988
com 988 llc,,,,,1,com 988 llc
com 989,,,,,1,com 989
com 989 llc,,,,,1,com 989 llc
com 990,,,,,1,com 990
com 990 llc,,,,,1,com 990 llc
com cn,1.0,,,1.0,1,com cn
com 982 llc,,,,,1,com 982 llc
com co ltd,1.0,1.0,1.0,1.0,1,com co ltd
com international,1.0,1.0,1.0,1.0,1,com international
commerce co,1.0,1.0,1.0,1.0,1,commerce co
commerce co ltd,1.0,1.0,1.0,1.0,1,commerce co ltd
commerce communications,1.0,1.0,1.0,1.0,1,commerce communications
commerce communications limited,1.0,1.0,1.0,1.0,1,commerce communications limited
commerce island,1.0,1.0,1.0,1.0,1,commerce island
commerce island inc,1.0,1.0,1.0,1.0,1,commerce island inc
comfydomains llc,,1.0,1.0,1.0,1,comfydomains llc
commercial bank of,,,,1.0,1,commercial bank of
committee,,,1.0,1.0,1,committee
committee inc,,,1.0,1.0,1,committee inc
commonwealth,,,,,1,commonwealth
commonwealth bank,,,,,1,commonwealth bank
commonwealth bank of,,,,,1,commonwealth bank of
communication,1.0,2.0,1.0,1.0,1,communication
commercial bank public,,,,1.0,1,commercial bank public
comfydomains,,1.0,1.0,1.0,1,comfydomains
combell group nv,,,,1.0,1,combell group nv
combell group,,,,1.0,1,combell group
com international inc,1.0,1.0,1.0,1.0,1,com international inc
com laude,1.0,1.0,1.0,1.0,1,com laude
com limited,1.0,1.0,2.0,1.0,1,com limited
com pvt,1.0,1.0,1.0,1.0,1,com pvt
com pvt ltd,1.0,1.0,1.0,1.0,1,com pvt ltd
com sa,1.0,1.0,1.0,1.0,1,com sa
com sarl,,,,1.0,1,com sarl
com sdn,1.0,1.0,1.0,1.0,1,com sdn
com sdn bhd,1.0,1.0,1.0,1.0,1,com sdn bhd
com solutions,3.0,1.0,1.0,1.0,1,com solutions
com solutions pvt,3.0,1.0,1.0,1.0,1,com solutions pvt
com srl,,1.0,1.0,1.0,1,com srl
com web,,,,1.0,1,com web
com web services,,,,1.0,1,com web services
combell,,,,1.0,1,combell
com corp,2.0,2.0,1.0,1.0,1,com corp
com 909 llc,,,,,1,com 909 llc
ítica centro de,,,,1.0,1,ítica centro de
com 887,,,,,1,com 887
com 881 llc,,,,,1,com 881 llc
com 901 llc,,,,,1,com 901 llc
com 882,,,,,1,com 882
com 882 llc,,,,,1,com 882 llc
com 883,,,,,1,com 883
com 883 llc,,,,,1,com 883 llc
com 881,,,,,1,com 881
com 906,,,,,1,com 906
com 884,,,,,1,com 884
com 906 llc,,,,,1,com 906 llc
com 903 llc,,,,,1,com 903 llc
com 877,,,,,1,com 877
com 907,,,,,1,com 907
com 905 llc,,,,,1,com 905 llc
com 888 llc,,,,,1,com 888 llc
com 879,,,,,1,com 879
com 895,,,,,1,com 895
com 898 llc,,,,,1,com 898 llc
com 897 llc,,,,,1,com 897 llc
com 905,,,,,1,com 905
com 878 llc,,,,,1,com 878 llc
com 904 llc,,,,,1,com 904 llc
com 898,,,,,1,com 898
com 897,,,,,1,com 897
com 880 llc,,,,,1,com 880 llc
com 878,,,,,1,com 878
com 902,,,,,1,com 902
com 893,,,,,1,com 893
com 904,,,,,1,com 904
com 894,,,,,1,com 894
com 892 llc,,,,,1,com 892 llc
com 894 llc,,,,,1,com 894 llc
com 877 llc,,,,,1,com 877 llc
com 907 llc,,,,,1,com 907 llc
com 876 llc,,,,,1,com 876 llc
com 886 llc,,,,,1,com 886 llc
com 903,,,,,1,com 903
com 880,,,,,1,com 880
com 896,,,,,1,com 896
com 908 llc,,,,,1,com 908 llc
com 891 llc,,,,,1,com 891 llc
com 886,,,,,1,com 886
com 879 llc,,,,,1,com 879 llc
com 896 llc,,,,,1,com 896 llc
com 891,,,,,1,com 891
com 890 llc,,,,,1,com 890 llc
com 900,,,,,1,com 900
com 900 llc,,,,,1,com 900 llc
com 890,,,,,1,com 890
com 909,,,,,1,com 909
com 887 llc,,,,,1,com 887 llc
com 888,,,,,1,com 888
com 885 llc,,,,,1,com 885 llc
com 889 llc,,,,,1,com 889 llc
com 899,,,,,1,com 899
com 884 llc,,,,,1,com 884 llc
com 895 llc,,,,,1,com 895 llc
com 885,,,,,1,com 885
com 908,,,,,1,com 908
com 889,,,,,1,com 889
com 901,,,,,1,com 901
com 893 llc,,,,,1,com 893 llc
com 876,,,,,1,com 876
com 902 llc,,,,,1,com 902 llc
com 892,,,,,1,com 892
com 899 llc,,,,,1,com 899 llc
ve,2.0,2.0,2.0,1.0,2,ve
usa inc,1.0,2.0,3.0,2.0,2,usa inc
robot,1.0,1.0,1.0,2.0,2,robot
active network,,,1.0,1.0,2,active network
net technology development,1.0,1.0,2.0,2.0,2,net technology development
robert,,,1.0,1.0,2,robert
romeo,,,1.0,1.0,2,romeo
financial,,,,,2,financial
net chinese,1.0,1.0,1.0,2.0,2,net chinese
river,,,,1.0,2,river
para,2.0,,1.0,1.0,2,para
right,,,,1.0,2,right
ejee group,,1.0,1.0,1.0,2,ejee group
ejee,,1.0,1.0,1.0,2,ejee
com pty,4.0,2.0,2.0,2.0,2,com pty
plan,1.0,1.0,2.0,2.0,2,plan
com pty ltd,4.0,2.0,2.0,2.0,2,com pty ltd
el,1.0,,,1.0,2,el
state of,,,,2.0,2,state of
nationale,,,,,2,nationale
israel,2.0,1.0,2.0,1.0,2,israel
national association of,,,,2.0,2,national association of
australian,2.0,1.0,1.0,2.0,2,australian
organisation,3.0,2.0,2.0,3.0,2,organisation
dai nippon,,,1.0,1.0,2,dai nippon
dai,,,1.0,1.0,2,dai
societe,1.0,1.0,1.0,1.0,2,societe
ad,,,,2.0,2,ad
automobile,,,,,2,automobile
verm gensberatung aktiengesellschaft,,,,2.0,2,verm gensberatung aktiengesellschaft
ritt net technology,1.0,1.0,2.0,2.0,2,ritt net technology
ritt net,1.0,1.0,2.0,2.0,2,ritt net
net internet,2.0,2.0,2.0,2.0,2,net internet
ritt,1.0,1.0,2.0,2.0,2,ritt
india limited,1.0,1.0,1.0,2.0,2,india limited
net chinese co,1.0,1.0,1.0,2.0,2,net chinese co
paragon,,,2.0,2.0,2,paragon
data services,1.0,,,,2,data services
elephant domains llc,,,,2.0,2,elephant domains llc
elephant,,,,2.0,2,elephant
verisign inc,1.0,1.0,1.0,1.0,2,verisign inc
verisign sarl,2.0,1.0,1.0,1.0,2,verisign sarl
com co,2.0,2.0,2.0,2.0,2,com co
broadcasting corporation,,,1.0,2.0,2,broadcasting corporation
verm,,,,2.0,2,verm
verm gensberatung,,,,2.0,2,verm gensberatung
elephant domains,,,,2.0,2,elephant domains
netearth,4.0,2.0,2.0,2.0,2,netearth
internet ltda,,,,2.0,2,internet ltda
stock company,,,,1.0,2,stock company
internet works,,,,1.0,2,internet works
chinese co,1.0,1.0,1.0,2.0,2,chinese co
chinese co ltd,1.0,1.0,1.0,2.0,2,chinese co ltd
internet works online,,,,1.0,2,internet works online
treasure,,,1.0,1.0,2,treasure
information co ltd,3.0,2.0,2.0,1.0,2,information co ltd
de barcelona,,,,1.0,2,de barcelona
information co,3.0,2.0,2.0,1.0,2,information co
lifestyle,,,,1.0,2,lifestyle
barcelona,,,,1.0,2,barcelona
new york,,,2.0,2.0,2,new york
bao,3.0,2.0,2.0,2.0,2,bao
limited dba,4.0,3.0,2.0,2.0,2,limited dba
partners llc,,,1.0,1.0,2,partners llc
life,,,,,2,life
partners,,,1.0,1.0,2,partners
smart,,,1.0,1.0,2,smart
trail llc,,,1.0,2.0,2,trail llc
jiangsu bangning science,1.0,1.0,1.0,2.0,2,jiangsu bangning science
jiangsu bangning,1.0,1.0,1.0,2.0,2,jiangsu bangning
jiangsu,1.0,1.0,1.0,2.0,2,jiangsu
drive domains,,,,1.0,2,drive domains
drive domains llc,,,,1.0,2,drive domains llc
de la,2.0,,1.0,,2,de la
sun,1.0,1.0,2.0,2.0,2,sun
drop catch,,,,,2,drop catch
fujian,1.0,1.0,2.0,2.0,2,fujian
chengdu,3.0,4.0,4.0,2.0,2,chengdu
trading as,2.0,2.0,3.0,2.0,2,trading as
pdr,,1.0,3.0,2.0,2,pdr
government,,,,1.0,2,government
trail,,,1.0,2.0,2,trail
by,,,1.0,2.0,2,by
information and,1.0,,2.0,1.0,2,information and
green,,,1.0,,2,green
only,1.0,2.0,2.0,2.0,2,only
und,1.0,,,1.0,2,und
network llc,2.0,2.0,2.0,1.0,2,network llc
baidu,,,,,2,baidu
fest,,,2.0,2.0,2,fest
fest llc,,,2.0,2.0,2,fest llc
union,,1.0,1.0,2.0,2,union
info,2.0,1.0,1.0,2.0,2,info
uniregistry,1.0,1.0,3.0,2.0,2,uniregistry
storage,,,,,2,storage
academy,1.0,,2.0,1.0,2,academy
academy of,1.0,,2.0,1.0,2,academy of
universal,1.0,2.0,2.0,2.0,2,universal
industries,,,,2.0,2,industries
dba domain,2.0,2.0,2.0,2.0,2,dba domain
uniregistry corp,1.0,1.0,2.0,2.0,2,uniregistry corp
group ltd,,,1.0,1.0,2,group ltd
cloud computing,,,1.0,1.0,2,cloud computing
group holdings,,1.0,1.0,2.0,2,group holdings
bank of,,,,1.0,2,bank of
tx,,,2.0,2.0,2,tx
tx com,,,2.0,2.0,2,tx com
tx com inc,,,2.0,2.0,2,tx com inc
bangning science technology,1.0,1.0,1.0,2.0,2,bangning science technology
bangning science,1.0,1.0,1.0,2.0,2,bangning science
bangning,1.0,1.0,1.0,2.0,2,bangning
click,1.0,1.0,1.0,1.0,2,click
networks inc,2.0,2.0,2.0,2.0,2,networks inc
bs corp,1.0,1.0,1.0,2.0,2,bs corp
open,1.0,2.0,1.0,2.0,2,open
banco,,,,1.0,2,banco
group corporation,,,2.0,1.0,2,group corporation
fern,,,2.0,2.0,2,fern
bs,1.0,1.0,1.0,2.0,2,bs
stock,,,,1.0,2,stock
academic,1.0,,1.0,2.0,2,academic
ponto,1.0,,1.0,,2,ponto
domain holdings,1.0,1.0,1.0,1.0,2,domain holdings
asiamix digital,,,,2.0,2,asiamix digital
yi,3.0,2.0,5.0,4.0,2,yi
yi global,3.0,2.0,5.0,4.0,2,yi global
yi global information,3.0,2.0,5.0,4.0,2,yi global information
asiamix,,,,2.0,2,asiamix
computing,,,1.0,1.0,2,computing
york,,,2.0,2.0,2,york
comunicacoes,1.0,,1.0,,2,comunicacoes
provider,1.0,1.0,1.0,1.0,2,provider
spa,2.0,2.0,2.0,2.0,2,spa
ming,5.0,3.0,3.0,2.0,2,ming
domain registry pty,,,2.0,2.0,2,domain registry pty
psi,2.0,2.0,2.0,2.0,2,psi
corporation ltd,4.0,2.0,3.0,1.0,2,corporation ltd
hong,1.0,,2.0,2.0,2,hong
domain robot,1.0,1.0,1.0,2.0,2,domain robot
yu,,,,1.0,2,yu
cotton,,,1.0,2.0,2,cotton
holdings plc,,,,1.0,2,holdings plc
domain service,,1.0,1.0,2.0,2,domain service
domain management,1.0,1.0,1.0,2.0,2,domain management
amazon,1.0,1.0,1.0,1.0,2,amazon
asociaci,,,1.0,1.0,2,asociaci
mexico,1.0,1.0,2.0,1.0,2,mexico
holdings co,,,,2.0,2,holdings co
holdings co ltd,,,,2.0,2,holdings co ltd
works,,,,1.0,2,works
works online,,,,1.0,2,works online
microsoft,1.0,1.0,2.0,1.0,2,microsoft
www,1.0,,1.0,2.0,2,www
microsoft corporation,1.0,1.0,1.0,1.0,2,microsoft corporation
middle,,1.0,1.0,1.0,2,middle
middle east,,1.0,1.0,1.0,2,middle east
holdings inc,2.0,2.0,2.0,1.0,2,holdings inc
regional,1.0,1.0,1.0,2.0,2,regional
hong kong,1.0,,2.0,2.0,2,hong kong
corporation limited,1.0,,,,2,corporation limited
mirror,2.0,2.0,2.0,2.0,2,mirror
solutions llc,3.0,3.0,3.0,2.0,2,solutions llc
source llc,,,,,2,source llc
hosting inc,2.0,2.0,2.0,2.0,2,hosting inc
connection,,,,,2,connection
source inc,2.0,2.0,2.0,2.0,2,source inc
punto,,,2.0,2.0,2,punto
motor co,,,,2.0,2,motor co
motor co ltd,,,,2.0,2,motor co ltd
motor company,,,,,2,motor company
motor corporation,,,,1.0,2,motor corporation
aquarius,,,,2.0,2,aquarius
ip mirror,2.0,2.0,2.0,2.0,2,ip mirror
mutual,,,,,2,mutual
domain name services,1.0,,1.0,1.0,2,domain name services
consulting,1.0,1.0,1.0,1.0,2,consulting
foundation for,1.0,,2.0,2.0,2,foundation for
punkt,,,2.0,2.0,2,punkt
coordination,1.0,,1.0,1.0,2,coordination
coordination center,1.0,,1.0,1.0,2,coordination center
za,2.0,1.0,3.0,4.0,2,za
za central,1.0,1.0,3.0,3.0,2,za central
za central registry,1.0,1.0,3.0,3.0,2,za central registry
rebel,1.0,1.0,1.0,2.0,2,rebel
and technology,,,1.0,1.0,2,and technology
real estate,,,,2.0,2,real estate
real,,,,2.0,2,real
registrar co,,,1.0,1.0,2,registrar co
ovh,1.0,1.0,1.0,2.0,2,ovh
corp dba,2.0,2.0,2.0,2.0,2,corp dba
name connection,,,,,2,name connection
hu yi global,3.0,2.0,5.0,4.0,2,hu yi global
hu yi,3.0,2.0,5.0,4.0,2,hu yi
hu,3.0,2.0,6.0,4.0,2,hu
101domain,1.0,1.0,1.0,2.0,2,101domain
aruba,1.0,1.0,1.0,1.0,2,aruba
ovh sas,1.0,1.0,1.0,2.0,2,ovh sas
organization,1.0,,,2.0,2,organization
registrar co ltd,,,1.0,1.0,2,registrar co ltd
registrar of,1.0,1.0,2.0,2.0,2,registrar of
origin,,,,2.0,2,origin
fl,,,2.0,2.0,2,fl
web services,2.0,2.0,2.0,2.0,2,web services
fl com,,,2.0,2.0,2,fl com
communications corporation,,,,,2,communications corporation
fl com inc,,,2.0,2.0,2,fl com inc
aktiebolaget,,,,1.0,2,aktiebolaget
softlayer,1.0,2.0,1.0,2.0,2,softlayer
power,4.0,4.0,3.0,2.0,2,power
webnames,2.0,1.0,2.0,2.0,2,webnames
manor,,,1.0,2.0,2,manor
manor llc,,,1.0,2.0,2,manor llc
registry pty ltd,,,2.0,2.0,2,registry pty ltd
registry pty,,,2.0,2.0,2,registry pty
premier,,,,2.0,2,premier
france,4.0,2.0,2.0,2.0,2,france
dubai,,,,1.0,2,dubai
brice,,,2.0,2.0,2,brice
cv,1.0,2.0,2.0,2.0,2,cv
east,,1.0,1.0,1.0,2,east
maff,,,3.0,2.0,2,maff
agencia,2.0,,1.0,,2,agencia
vzw,3.0,,3.0,2.0,2,vzw
wa,,,2.0,2.0,2,wa
wa com,,,2.0,2.0,2,wa com
wa com inc,,,2.0,2.0,2,wa com inc
first,,,,2.0,2,first
domain inc,,,3.0,2.0,2,domain inc
resellersrs,2.0,2.0,2.0,2.0,2,resellersrs
commercial,,,,2.0,2,commercial
commercial bank,,,,2.0,2,commercial bank
auburn,,,1.0,2.0,2,auburn
total,,1.0,1.0,1.0,2,total
ponto br,1.0,,1.0,,2,ponto br
star,,,,1.0,2,star
ihs telekom,1.0,1.0,1.0,1.0,2,ihs telekom
hi com,,1.0,3.0,2.0,2,hi com
du,,,,1.0,2,du
wholesale pty ltd,,1.0,3.0,2.0,2,wholesale pty ltd
hill llc,,,2.0,2.0,2,hill llc
wide,,,,,2,wide
brandma,,,,2.0,2,brandma
company inc,1.0,1.0,1.0,2.0,2,company inc
hk,1.0,2.0,2.0,1.0,2,hk
spot llc,,,,,2,spot llc
spot,1.0,1.0,1.0,,2,spot
360,,,1.0,1.0,2,360
company llc,2.0,2.0,1.0,1.0,2,company llc
registrar services,,1.0,4.0,2.0,2,registrar services
association inc,,,1.0,1.0,2,association inc
will,,,,1.0,2,will
spirit,1.0,1.0,1.0,2.0,2,spirit
namecatch,,,,,2,namecatch
wholesale pty,,1.0,3.0,2.0,2,wholesale pty
wholesale,1.0,2.0,4.0,2.0,2,wholesale
registration services,4.0,3.0,3.0,2.0,2,registration services
registration services inc,3.0,3.0,3.0,2.0,2,registration services inc
alibaba,,,1.0,1.0,2,alibaba
hi com inc,,1.0,3.0,2.0,2,hi com inc
ihs,1.0,1.0,1.0,1.0,2,ihs
domain source,1.0,1.0,1.0,1.0,2,domain source
companies,1.0,,1.0,,2,companies
investment,2.0,1.0,1.0,2.0,2,investment
hidden,,,2.0,2.0,2,hidden
registrar limited,,,2.0,2.0,2,registrar limited
white,,,,2.0,2,white
irish,,,,1.0,2,irish
mat,3.0,2.0,2.0,2.0,2,mat
mat bao,3.0,2.0,2.0,2.0,2,mat bao
registrations,2.0,2.0,2.0,2.0,2,registrations
crown,,,,1.0,2,crown
who,,,,2.0,2,who
cross llc,,,1.0,2.0,2,cross llc
irish llc,,,,1.0,2,irish llc
one com,1.0,1.0,1.0,2.0,2,one com
orange,,1.0,1.0,1.0,2,orange
science technology co,1.0,1.0,1.0,2.0,2,science technology co
eu,1.0,1.0,2.0,2.0,2,eu
joint,,,,1.0,2,joint
joint stock,,,,1.0,2,joint stock
service co,2.0,2.0,2.0,3.0,2,service co
service co ltd,2.0,2.0,2.0,3.0,2,service co ltd
service company,1.0,1.0,2.0,2.0,2,service company
eurid,2.0,,1.0,,2,eurid
lac,,,,2.0,2,lac
gmo internet inc,1.0,1.0,2.0,2.0,2,gmo internet inc
service gmbh,2.0,3.0,3.0,3.0,2,service gmbh
european,,1.0,1.0,3.0,2,european
capital,1.0,1.0,2.0,2.0,2,capital
joint stock company,,,,1.0,2,joint stock company
dot irish llc,,,,1.0,2,dot irish llc
dot irish,,,,1.0,2,dot irish
canyon,1.0,1.0,2.0,2.0,2,canyon
domainmonster,2.0,2.0,2.0,2.0,2,domainmonster
internet services gmbh,2.0,2.0,2.0,2.0,2,internet services gmbh
canada,11.0,6.0,3.0,2.0,2,canada
exclusive,,,,1.0,2,exclusive
services corporation,8.0,7.0,2.0,2.0,2,services corporation
thomas,,,,,2,thomas
internet services corporation,8.0,7.0,2.0,2.0,2,internet services corporation
servers inc,2.0,2.0,2.0,2.0,2,servers inc
best,2.0,1.0,1.0,1.0,2,best
servers,2.0,2.0,2.0,2.0,2,servers
tic,,,,1.0,2,tic
slow,,,,,2,slow
tld registrar,,1.0,3.0,2.0,2,tld registrar
do,2.0,1.0,2.0,,2,do
internet technology,,,1.0,1.0,2,internet technology
institute,2.0,,2.0,3.0,2,institute
gold,,,,,2,gold
deleting,,,,,2,deleting
latin,,,1.0,1.0,2,latin
internet technologies,2.0,1.0,2.0,2.0,2,internet technologies
beijing ritt,1.0,1.0,2.0,2.0,2,beijing ritt
beijing ritt net,1.0,1.0,2.0,2.0,2,beijing ritt net
secure,,,,1.0,2,secure
sedo,2.0,1.0,1.0,2.0,2,sedo
cc,1.0,1.0,1.0,2.0,2,cc
times,1.0,1.0,1.0,2.0,2,times
express llc,,,,,2,express llc
express,,,,,2,express
tiger,1.0,1.0,1.0,2.0,2,tiger
landing,,,,,2,landing
estate,,,,2.0,2,estate
castle llc,,,2.0,2.0,2,castle llc
castle,,,2.0,2.0,2,castle
tic ltd,,,,1.0,2,tic ltd
server,2.0,2.0,2.0,2.0,2,server
science technology,1.0,1.0,1.0,2.0,2,science technology
domus,2.0,2.0,2.0,2.0,2,domus
interlink,1.0,1.0,1.0,2.0,2,interlink
taiwan,1.0,,1.0,2.0,2,taiwan
nominet uk,1.0,,1.0,2.0,2,nominet uk
deutsche verm,,,,2.0,2,deutsche verm
deutsche verm gensberatung,,,,2.0,2,deutsche verm gensberatung
taiwan network,1.0,,1.0,2.0,2,taiwan network
taiwan network information,1.0,,1.0,2.0,2,taiwan network information
george,,,2.0,2.0,2,george
gensberatung aktiengesellschaft,,,,2.0,2,gensberatung aktiengesellschaft
gensberatung,,,,2.0,2,gensberatung
kgaa,,,,1.0,2,kgaa
internet domain,,1.0,2.0,3.0,2,internet domain
key systems,1.0,1.0,2.0,2.0,2,key systems
bilisim,3.0,2.0,3.0,2.0,2,bilisim
domains ltd,1.0,1.0,2.0,2.0,2,domains ltd
domains limited,,1.0,2.0,2.0,2,domains limited
number,1.0,1.0,2.0,2.0,2,number
technology company,1.0,1.0,1.0,1.0,2,technology company
putt,1.0,1.0,1.0,1.0,2,putt
technologies pvt ltd,3.0,3.0,3.0,2.0,2,technologies pvt ltd
technologies pvt,3.0,3.0,3.0,2.0,2,technologies pvt
digital limited,1.0,1.0,1.0,2.0,2,digital limited
technical,1.0,1.0,,1.0,2,technical
internet names,2.0,2.0,2.0,2.0,2,internet names
knet,1.0,1.0,,1.0,2,knet
dive,,,,2.0,2,dive
of new,,,1.0,2.0,2,of new
nom,3.0,2.0,2.0,2.0,2,nom
services limited,1.0,2.0,2.0,1.0,2,services limited
interlink co,1.0,1.0,1.0,2.0,2,interlink co
interlink co ltd,1.0,1.0,1.0,2.0,2,interlink co ltd
global information,3.0,2.0,5.0,4.0,2,global information
servicos,4.0,3.0,3.0,3.0,2,servicos
the registrar,1.0,1.0,1.0,2.0,2,the registrar
systems inc,1.0,2.0,2.0,2.0,2,systems inc
international co,,,1.0,1.0,2,international co
bharti,1.0,1.0,,,2,bharti
desarrollo,3.0,2.0,2.0,1.0,2,desarrollo
fz,2.0,4.0,3.0,3.0,2,fz
do ponto,1.0,,1.0,,2,do ponto
fz llc,2.0,4.0,3.0,3.0,2,fz llc
kong,1.0,,2.0,2.0,2,kong
bhd,1.0,1.0,3.0,2.0,2,bhd
fzc,1.0,,2.0,2.0,2,fzc
desert,1.0,1.0,1.0,2.0,2,desert
dive domains llc,,,,2.0,2,dive domains llc
no,1.0,1.0,1.0,2.0,2,no
international ltd,1.0,1.0,1.0,2.0,2,international ltd
shark domains,,,,2.0,2,shark domains
shark domains llc,,,,2.0,2,shark domains llc
gabia,1.0,1.0,2.0,2.0,2,gabia
dive domains,,,,2.0,2,dive domains
koninklijke,,,,1.0,2,koninklijke
domaininfo,2.0,2.0,2.0,2.0,2,domaininfo
level domain,1.0,1.0,2.0,2.0,2,level domain
do ponto br,1.0,,1.0,,2,do ponto br
ca internet,12.0,8.0,2.0,2.0,2,ca internet
tong,5.0,3.0,4.0,2.0,2,tong
centre,,,,2.0,2,centre
small business,1.0,1.0,1.0,2.0,2,small business
top level domain,1.0,1.0,2.0,2.0,2,top level domain
sdn,1.0,1.0,2.0,2.0,2,sdn
central registry,1.0,1.0,3.0,3.0,2,central registry
tn com inc,,,2.0,2.0,2,tn com inc
dog,,,,2.0,2,dog
tn com,,,2.0,2.0,2,tn com
tn,,,2.0,2.0,2,tn
ca internet services,11.0,8.0,2.0,2.0,2,ca internet services
sdn bhd,1.0,1.0,2.0,2.0,2,sdn bhd
century,,,1.0,1.0,2,century
corporate,2.0,2.0,2.0,2.0,3,corporate
llp,1.0,1.0,1.0,2.0,3,llp
hi,,1.0,3.0,3.0,3,hi
drive,2.0,1.0,1.0,2.0,3,drive
hongkong,1.0,,2.0,3.0,3,hongkong
guangdong,2.0,1.0,1.0,2.0,3,guangdong
net inc,9.0,5.0,4.0,3.0,3,net inc
good,2.0,3.0,3.0,3.0,3,good
name services,4.0,3.0,4.0,2.0,3,name services
technology ltd,4.0,4.0,4.0,2.0,3,technology ltd
pass llc,,,3.0,3.0,3,pass llc
domain registry,3.0,2.0,4.0,4.0,3,domain registry
deep,,,,1.0,3,deep
domains incorporated,3.0,3.0,3.0,3.0,3,domains incorporated
find,1.0,1.0,1.0,1.0,3,find
active,2.0,2.0,3.0,3.0,3,active
pt,1.0,1.0,2.0,1.0,3,pt
zhengzhou,,,1.0,1.0,3,zhengzhou
indonesia,1.0,2.0,2.0,2.0,3,indonesia
usa,3.0,4.0,5.0,4.0,3,usa
university of,9.0,2.0,4.0,4.0,3,university of
technology corporation,6.0,4.0,4.0,3.0,3,technology corporation
japan registry,3.0,1.0,1.0,2.0,3,japan registry
nv,2.0,2.0,2.0,3.0,3,nv
sti,3.0,3.0,4.0,2.0,3,sti
japan registry services,2.0,1.0,1.0,1.0,3,japan registry services
enterprises,1.0,1.0,1.0,1.0,3,enterprises
world inc,2.0,2.0,2.0,2.0,3,world inc
eagle,,,1.0,3.0,3,eagle
mobile,1.0,1.0,1.0,2.0,3,mobile
sociedad,1.0,1.0,2.0,3.0,3,sociedad
net technology,2.0,2.0,3.0,3.0,3,net technology
internet society,1.0,,2.0,2.0,3,internet society
registry llc,1.0,1.0,2.0,2.0,3,registry llc
gmo internet,1.0,1.0,2.0,3.0,3,gmo internet
registry services co,2.0,1.0,1.0,1.0,3,registry services co
over,,,2.0,2.0,3,over
birch,,,2.0,3.0,3,birch
edge llc,,,3.0,4.0,3,edge llc
edge,,,3.0,4.0,3,edge
interest,2.0,1.0,1.0,3.0,3,interest
interest registry,2.0,1.0,1.0,3.0,3,interest registry
xin,2.0,2.0,3.0,2.0,3,xin
afilias plc,,,,2.0,3,afilias plc
national association,,,,2.0,3,national association
town,,,2.0,2.0,3,town
australia pty ltd,2.0,2.0,1.0,3.0,3,australia pty ltd
australia pty,2.0,2.0,1.0,3.0,3,australia pty
resources,4.0,3.0,5.0,3.0,3,resources
dot com,4.0,2.0,2.0,2.0,3,dot com
town llc,,,2.0,2.0,3,town llc
commerce,3.0,3.0,3.0,3.0,3,commerce
services gmbh,2.0,2.0,2.0,3.0,3,services gmbh
des,1.0,,1.0,1.0,3,des
ltda,3.0,4.0,2.0,4.0,3,ltda
free,,,,2.0,3,free
birch llc,,,2.0,3.0,3,birch llc
just,,,3.0,3.0,3,just
key,2.0,2.0,3.0,3.0,3,key
administration,4.0,1.0,4.0,2.0,3,administration
electronic,1.0,1.0,2.0,2.0,3,electronic
your domain,1.0,1.0,1.0,2.0,3,your domain
department of,1.0,1.0,1.0,3.0,3,department of
registry services llc,,,,1.0,3,registry services llc
steel,,,2.0,3.0,3,steel
trading co,1.0,1.0,1.0,1.0,3,trading co
dynadot llc,1.0,3.0,3.0,3.0,3,dynadot llc
chinese,1.0,1.0,2.0,3.0,3,chinese
minds machines,,,1.0,2.0,3,minds machines
com ltd,3.0,3.0,3.0,3.0,3,com ltd
telecommunications,3.0,1.0,6.0,2.0,3,telecommunications
telecom,5.0,4.0,4.0,1.0,3,telecom
dash,,,2.0,3.0,3,dash
